Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-12-05 13:00:00, 2023-12-05 17:10:00, 2023-12-06 01:25:00","2023-12-05 14:35:00, 2023-12-05 23:35:00, 2023-12-06 08:15:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"02h 35m, 01h 50m","VA842(Virgin Australia), QR989(Qatar), QR703(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2023-12-05 14:00:00, 2023-12-05 17:10:00, 2023-12-06 01:25:00","2023-12-05 15:35:00, 2023-12-05 23:35:00, 2023-12-06 08:15:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 35m, 01h 50m","VA846(Virgin Australia), QR989(Qatar), QR703(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-BNE, BNE-DOH, DOH-JFK","2023-12-09 19:00:00, 2023-12-09 21:55:00, 2023-12-10 15:10:00","2023-12-09 19:30:00, 2023-12-10 05:45:00, 2023-12-10 22:00:00","Economy, Economy, Economy","X, X, X",82800,$411.8,"01h 30m, 14h 50m, 14h 50m",2,"02h 25m, 09h 25m","VA981(Virgin Australia), QR899(Qatar), QR705(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-200LR",2,Economy,VA,2023-08-16 23:22:58
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2024-01-11 19:15:00, 2024-01-11 22:30:00, 2024-01-12 15:10:00","2024-01-11 20:50:00, 2024-01-12 04:55:00, 2024-01-12 22:00:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 40m, 10h 15m","VA884(Virgin Australia), QR905(Qatar), QR705(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-200LR",2,Economy,VA,2023-08-16 23:22:59
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2024-01-12 19:15:00, 2024-01-12 22:30:00, 2024-01-13 15:10:00","2024-01-12 20:50:00, 2024-01-13 04:55:00, 2024-01-13 22:00:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 40m, 10h 15m","VA884(Virgin Australia), QR905(Qatar), QR705(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-200LR",2,Economy,VA,2023-08-16 23:23:00
SYD,JFK,"SYD-BNE, BNE-DOH, DOH-JFK","2024-01-12 19:30:00, 2024-01-12 21:55:00, 2024-01-13 15:10:00","2024-01-12 20:00:00, 2024-01-13 05:45:00, 2024-01-13 22:00:00","Economy, Economy, Economy","X, X, X",82800,$411.8,"01h 30m, 14h 50m, 14h 50m",2,"01h 55m, 09h 25m","VA985(Virgin Australia), QR899(Qatar), QR705(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-200LR",2,Economy,VA,2023-08-16 23:23:00
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2024-01-14 19:15:00, 2024-01-14 22:30:00, 2024-01-15 15:10:00","2024-01-14 20:50:00, 2024-01-15 04:55:00, 2024-01-15 22:00:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 40m, 10h 15m","VA884(Virgin Australia), QR905(Qatar), QR705(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-200LR",2,Economy,VA,2023-08-16 23:23:02
SYD,JFK,"SYD-MEL, MEL-DOH, DOH-JFK","2024-01-15 19:00:00, 2024-01-15 22:30:00, 2024-01-16 15:10:00","2024-01-15 20:35:00, 2024-01-16 04:55:00, 2024-01-16 22:00:00","Economy, Economy, Economy","X, X, X",82800,$397.82,"01h 35m, 14h 25m, 14h 50m",2,"01h 55m, 10h 15m","VA882(Virgin Australia), QR905(Qatar), QR705(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-200LR",2,Economy,VA,2023-08-16 23:23:03
SYD,JFK,"SYD-SIN, SIN-JFK","2024-01-15 19:10:00, 2024-01-16 12:35:00","2024-01-16 00:20:00, 2024-01-16 17:25:00","PremiumEconomy, PremiumEconomy","P, P",112500,$385.99,"08h 10m, 17h 50m",1,12h 15m,"SQ242(Singapore Airlines), SQ24(Singapore Airlines)","Airbus A350-900, Airbus A350-900",9,PremiumEconomy,VA,2023-08-16 23:23:03
SYD,JFK,"SYD-AUH, AUH-JFK","2024-01-15 21:25:00, 2024-01-16 09:55:00","2024-01-16 04:55:00, 2024-01-16 15:40:00","Economy, Economy","N, N",75000,$328.69,"14h 30m, 14h 45m",1,05h 00m,"EY455(Etihad Airways), EY101(Etihad Airways)","Boeing 777-300ER, Boeing 787-9",6,Economy,VA,2023-08-16 23:23:03
