Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,FCO,"SYD-MEL, MEL-LAX, LAX-EWR, EWR-FCO","2024-01-29 07:30:00, 2024-01-29 11:30:00, 2024-01-29 08:15:00, 2024-01-29 17:55:00","2024-01-29 09:05:00, 2024-01-29 06:45:00, 2024-01-29 16:16:00, 2024-01-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$154.36,"01h 35m, 14h 15m, 05h 01m, 08h 10m",3,"02h 25m, 01h 30m, 01h 39m","VA812(Virgin Australia), UA99(United Airlines), UA2155(United Airlines), UA40(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-10, Boeing 777",9,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-LAX, LAX-EWR, EWR-FCO","2024-01-29 08:00:00, 2024-01-29 11:30:00, 2024-01-29 08:15:00, 2024-01-29 17:55:00","2024-01-29 09:35:00, 2024-01-29 06:45:00, 2024-01-29 16:16:00, 2024-01-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$154.36,"01h 35m, 14h 15m, 05h 01m, 08h 10m",3,"01h 55m, 01h 30m, 01h 39m","VA816(Virgin Australia), UA99(United Airlines), UA2155(United Airlines), UA40(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-10, Boeing 777",9,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-LAX, LAX-EWR, EWR-FCO","2024-01-29 08:15:00, 2024-01-29 11:30:00, 2024-01-29 08:15:00, 2024-01-29 17:55:00","2024-01-29 09:50:00, 2024-01-29 06:45:00, 2024-01-29 16:16:00, 2024-01-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$154.36,"01h 35m, 14h 15m, 05h 01m, 08h 10m",3,"01h 40m, 01h 30m, 01h 39m","VA818(Virgin Australia), UA99(United Airlines), UA2155(United Airlines), UA40(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-10, Boeing 777",9,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-SFO, SFO-EWR, EWR-FCO","2024-01-29 09:30:00, 2024-01-29 13:00:00, 2024-01-29 21:40:00, 2024-01-30 17:55:00","2024-01-29 11:05:00, 2024-01-29 08:25:00, 2024-01-30 05:44:00, 2024-01-31 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$162.96,"01h 35m, 14h 25m, 05h 04m, 08h 10m",3,"01h 55m, 13h 15m, 12h 11m","VA826(Virgin Australia), UA61(United Airlines), UA2097(United Airlines), UA40(United Airlines)","Boeing 737-800, Boeing 777-300ER, Boeing 787-10, Boeing 777",7,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-SFO, SFO-EWR, EWR-FCO","2024-01-29 09:30:00, 2024-01-29 13:00:00, 2024-01-29 23:45:00, 2024-01-30 17:55:00","2024-01-29 11:05:00, 2024-01-29 08:25:00, 2024-01-30 07:54:00, 2024-01-31 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$154.36,"01h 35m, 14h 25m, 05h 09m, 08h 10m",3,"01h 55m, 15h 20m, 10h 01m","VA826(Virgin Australia), UA61(United Airlines), UA1831(United Airlines), UA40(United Airlines)","Boeing 737-800, Boeing 777-300ER, Boeing 777, Boeing 777",7,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-SFO, SFO-EWR, EWR-FCO","2024-01-29 09:30:00, 2024-01-29 13:00:00, 2024-01-29 22:45:00, 2024-01-30 17:55:00","2024-01-29 11:05:00, 2024-01-29 08:25:00, 2024-01-30 07:08:00, 2024-01-31 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$154.36,"01h 35m, 14h 25m, 05h 23m, 08h 10m",3,"01h 55m, 14h 20m, 10h 47m","VA826(Virgin Australia), UA61(United Airlines), UA2059(United Airlines), UA40(United Airlines)","Boeing 737-800, Boeing 777-300ER, Boeing 757-200, Boeing 777",7,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-AUH, AUH-FCO","2024-01-29 10:30:00, 2024-01-29 16:10:00, 2024-01-30 02:25:00","2024-01-29 12:05:00, 2024-01-29 23:30:00, 2024-01-30 05:45:00","Economy, Economy, Economy","X, N, N",82800,$307.1,"01h 35m, 14h 20m, 06h 20m",2,"04h 05m, 02h 55m","VA832(Virgin Australia), EY463(Etihad Airways), EY85(Etihad Airways)","Boeing 737-800, Boeing 787-9, Boeing 777-300ER",8,Economy,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-AUH, AUH-FCO","2024-01-29 10:30:00, 2024-01-29 16:10:00, 2024-01-30 02:25:00","2024-01-29 12:05:00, 2024-01-29 23:30:00, 2024-01-30 05:45:00","Business, Business, Business","Z, I, I",154500,$765.7,"01h 35m, 14h 20m, 06h 20m",2,"04h 05m, 02h 55m","VA832(Virgin Australia), EY463(Etihad Airways), EY85(Etihad Airways)","Boeing 737-800, Boeing 787-9, Boeing 777-300ER",2,Business,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-AUH, AUH-FCO","2024-01-29 11:00:00, 2024-01-29 16:10:00, 2024-01-30 02:25:00","2024-01-29 12:35:00, 2024-01-29 23:30:00, 2024-01-30 05:45:00","Business, Business, Business","Z, I, I",154500,$765.7,"01h 35m, 14h 20m, 06h 20m",2,"03h 35m, 02h 55m","VA834(Virgin Australia), EY463(Etihad Airways), EY85(Etihad Airways)","Boeing 737-800, Boeing 787-9, Boeing 777-300ER",2,Business,VA,2023-08-11 22:46:17
SYD,FCO,"SYD-MEL, MEL-AUH, AUH-FCO","2024-01-29 11:00:00, 2024-01-29 16:10:00, 2024-01-30 02:25:00","2024-01-29 12:35:00, 2024-01-29 23:30:00, 2024-01-30 05:45:00","Economy, Economy, Economy","X, N, N",82800,$307.1,"01h 35m, 14h 20m, 06h 20m",2,"03h 35m, 02h 55m","VA834(Virgin Australia), EY463(Etihad Airways), EY85(Etihad Airways)","Boeing 737-800, Boeing 787-9, Boeing 777-300ER",8,Economy,VA,2023-08-11 22:46:17
