Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points per Adult,Tax per Adult (AUD),Flight Duration(s),Transition Time,Aircraft Details,TimeStamp
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 17:00:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 18:20:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 50m, 01h 19m","03h 20m, 04h 10m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL128(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 17:00:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 18:20:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 50m, 01h 19m","03h 20m, 04h 10m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL128(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 17:00:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 18:20:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 50m, 01h 19m","03h 20m, 04h 10m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL128(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 18:30:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 19:45:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 50m, 01h 15m","03h 20m, 05h 40m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL130(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 19:30:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 20:40:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 50m, 01h 10m","03h 20m, 06h 40m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL134(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 20:15:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 21:25:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 50m, 01h 10m","03h 20m, 07h 25m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL138(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 20:15:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 21:25:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 50m, 01h 10m","03h 20m, 07h 25m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL138(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, ITM-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 20:15:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 21:25:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 50m, 01h 10m","03h 20m, 07h 25m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL138(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 21:10:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 22:25:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 50m, 01h 15m","03h 20m, 08h 20m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL228(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 21:10:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 22:25:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 50m, 01h 15m","03h 20m, 08h 20m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL228(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 09:00:00, 2024-05-28 21:10:00","2024-05-28 05:40:00, 2024-05-28 12:50:00, 2024-05-28 22:25:00",ACEECO,"Z, O, T",99000,$193,"09h 30m, 02h 50m, 01h 15m","03h 20m, 08h 20m, 00h 00m","CI52(China Airlines Ltd.), CI152(China Airlines Ltd.), JL228(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TSA-HND","2024-05-27 22:10:00, 2024-05-28 14:20:00","2024-05-28 05:40:00, 2024-05-28 18:35:00",ACEPRM,"Z, U",102800,$193.5,"09h 30m, 03h 15m","08h 39m, 00h 00m","CI52(China Airlines Ltd.), JL98(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TSA-HND","2024-05-27 22:10:00, 2024-05-28 14:20:00","2024-05-28 05:40:00, 2024-05-28 18:35:00",ACEECO,"X, T",50200,$193.5,"09h 30m, 03h 15m","08h 39m, 00h 00m","CI52(China Airlines Ltd.), JL98(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TSA-HND","2024-05-27 22:10:00, 2024-05-28 14:20:00","2024-05-28 05:40:00, 2024-05-28 18:35:00",ACEBUS,"O, U",118800,$193.5,"09h 30m, 03h 15m","08h 39m, 00h 00m","CI52(China Airlines Ltd.), JL98(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 14:20:00, 2024-05-28 21:10:00","2024-05-28 05:40:00, 2024-05-28 18:05:00, 2024-05-28 22:25:00",ACEBUS,"O, O, U",110000,$193,"09h 30m, 02h 45m, 01h 15m","08h 39m, 03h 05m, 00h 00m","CI52(China Airlines Ltd.), CI172(China Airlines Ltd.), JL228(Japan Airlines)",2023-06-07 17:18:28
SYD,HND,"SYD-TPE, TPE-KIX, KIX-HND","2024-05-27 22:10:00, 2024-05-28 14:20:00, 2024-05-28 21:10:00","2024-05-28 05:40:00, 2024-05-28 18:05:00, 2024-05-28 22:25:00",ACEPRM,"Z, O, U",109000,$193,"09h 30m, 02h 45m, 01h 15m","08h 39m, 03h 05m, 00h 00m","CI52(China Airlines Ltd.), CI172(China Airlines Ltd.), JL228(Japan Airlines)",2023-06-07 17:18:28
