Origin Code,Destination Code,Connection Airport Codes,Departure Date,Arrival Date,Cabin Type,RBD,Points Per Adult,Tax Per Adult,Flight Duration(s),StopOvers,Transition Time,Aircraft Details,Equipment,Remaining Seats,Designated Class,Source,TimeStamp
SYD,AMS,"SYD-MEL, MEL-SFO, SFO-IAD, IAD-AMS","2023-11-27 21:30:00, 2023-11-28 13:00:00, 2023-11-28 23:38:00, 2023-11-29 18:25:00","2023-11-27 23:05:00, 2023-11-28 08:25:00, 2023-11-29 07:40:00, 2023-11-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 25m, 05h 02m, 07h 40m",3,"13h 55m, 15h 13m, 10h 45m","VA898(Virgin Australia), UA61(United Airlines), UA519(United Airlines), UA946(United Airlines)","Boeing 737-800, Boeing 777-300ER, Boeing 737-900ER, Boeing 767-400",9,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-DOH, DOH-AMS","2023-11-27 22:00:00, 2023-11-28 08:15:00","2023-11-28 04:50:00, 2023-11-28 13:15:00","Business, Business","C, C",1099700,$601.29,"14h 50m, 07h 00m",1,03h 25m,"QR909(Qatar), QR273(Qatar)","Airbus A380-800, Boeing 777-300ER",7,Business,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-DOH, DOH-AMS","2023-11-27 22:00:00, 2023-11-28 08:15:00","2023-11-28 04:50:00, 2023-11-28 13:15:00","Economy, Economy","H, H",304700,$437.29,"14h 50m, 07h 00m",1,03h 25m,"QR909(Qatar), QR273(Qatar)","Airbus A380-800, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-DOH, DOH-AMS","2023-11-27 22:00:00, 2023-11-28 08:15:00","2023-11-28 04:50:00, 2023-11-28 13:15:00","Economy, Economy","N, N",228900,$437.29,"14h 50m, 07h 00m",1,03h 25m,"QR909(Qatar), QR273(Qatar)","Airbus A380-800, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-AUH, AUH-AMS","2023-11-28 11:00:00, 2023-11-28 16:10:00, 2023-11-29 14:05:00","2023-11-28 12:35:00, 2023-11-28 23:30:00, 2023-11-29 18:25:00","Economy, Economy, Economy","X, N, N",82800,$314.7,"01h 35m, 14h 20m, 07h 20m",2,"03h 35m, 14h 35m","VA834(Virgin Australia), EY463(Etihad Airways), EY77(Etihad Airways)","Boeing 737-800, Boeing 787-9, Boeing 787-10",3,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-AUH, AUH-AMS","2023-11-28 12:00:00, 2023-11-28 16:10:00, 2023-11-29 14:05:00","2023-11-28 13:35:00, 2023-11-28 23:30:00, 2023-11-29 18:25:00","Economy, Economy, Economy","X, N, N",82800,$314.7,"01h 35m, 14h 20m, 07h 20m",2,"02h 35m, 14h 35m","VA838(Virgin Australia), EY463(Etihad Airways), EY77(Etihad Airways)","Boeing 737-800, Boeing 787-9, Boeing 787-10",3,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-11-28 19:00:00, 2023-11-28 22:10:00, 2023-11-29 08:15:00","2023-11-28 19:30:00, 2023-11-29 05:45:00, 2023-11-29 13:15:00","Economy, Economy, Economy","H, H, H",411200,$465.57,"01h 30m, 14h 35m, 07h 00m",2,"02h 40m, 02h 30m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-DOH, DOH-AMS","2023-11-28 19:00:00, 2023-11-28 22:10:00, 2023-11-29 08:15:00","2023-11-28 20:35:00, 2023-11-29 04:35:00, 2023-11-29 13:15:00","Economy, Economy, Economy","X, X, X",82800,$353.4,"01h 35m, 14h 25m, 07h 00m",2,"01h 35m, 03h 40m","VA882(Virgin Australia), QR905(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",2,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-11-28 19:00:00, 2023-11-28 22:10:00, 2023-11-29 08:15:00","2023-11-28 19:30:00, 2023-11-29 05:45:00, 2023-11-29 13:15:00","Business, Business, Business","J, J, J",1668700,$629.57,"01h 30m, 14h 35m, 07h 00m",2,"02h 40m, 02h 30m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Business,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-BNE, BNE-DOH, DOH-AMS","2023-11-28 19:00:00, 2023-11-28 22:10:00, 2023-11-29 08:15:00","2023-11-28 19:30:00, 2023-11-29 05:45:00, 2023-11-29 13:15:00","Economy, Economy, Economy","R, R, R",303400,$465.57,"01h 30m, 14h 35m, 07h 00m",2,"02h 40m, 02h 30m","VA981(Virgin Australia), QR899(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-DOH, DOH-AMS","2023-11-28 19:00:00, 2023-11-28 22:10:00, 2023-11-29 08:15:00","2023-11-28 20:35:00, 2023-11-29 04:35:00, 2023-11-29 13:15:00","Economy, Economy, Economy","Q, Q, Q",209200,$449.5,"01h 35m, 14h 25m, 07h 00m",2,"01h 35m, 03h 40m","VA882(Virgin Australia), QR905(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-DOH, DOH-AMS","2023-11-28 19:00:00, 2023-11-28 22:10:00, 2023-11-29 08:15:00","2023-11-28 20:35:00, 2023-11-29 04:35:00, 2023-11-29 13:15:00","Business, Business, Business","D, D, D",867900,$613.5,"01h 35m, 14h 25m, 07h 00m",2,"01h 35m, 03h 40m","VA882(Virgin Australia), QR905(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",4,Business,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-DOH, DOH-AMS","2023-11-28 19:00:00, 2023-11-28 22:10:00, 2023-11-29 08:15:00","2023-11-28 20:35:00, 2023-11-29 04:35:00, 2023-11-29 13:15:00","Economy, Economy, Economy","H, H, H",412400,$449.5,"01h 35m, 14h 25m, 07h 00m",2,"01h 35m, 03h 40m","VA882(Virgin Australia), QR905(Qatar), QR273(Qatar)","Boeing 737-800, Boeing 777-300ER, Boeing 777-300ER",7,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-LAX, LAX-IAD, IAD-AMS","2023-11-28 19:30:00, 2023-11-29 11:30:00, 2023-11-29 08:40:00, 2023-11-29 18:25:00","2023-11-28 21:05:00, 2023-11-29 06:45:00, 2023-11-29 16:21:00, 2023-11-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 15m, 04h 41m, 07h 40m",3,"14h 25m, 01h 55m, 02h 04m","VA886(Virgin Australia), UA99(United Airlines), UA1603(United Airlines), UA946(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-9, Boeing 767-400",9,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-MEL, MEL-LAX, LAX-IAD, IAD-AMS","2023-11-28 20:00:00, 2023-11-29 11:30:00, 2023-11-29 08:40:00, 2023-11-29 18:25:00","2023-11-28 21:35:00, 2023-11-29 06:45:00, 2023-11-29 16:21:00, 2023-11-30 08:05:00","Economy, Economy, Economy, Economy","X, X, X, X",59800,$158.36,"01h 35m, 14h 15m, 04h 41m, 07h 40m",3,"13h 55m, 01h 55m, 02h 04m","VA888(Virgin Australia), UA99(United Airlines), UA1603(United Airlines), UA946(United Airlines)","Boeing 737-800, Boeing 787-9, Boeing 787-9, Boeing 767-400",9,Economy,VA,2023-08-06 17:18:32
SYD,AMS,"SYD-AUH, AUH-AMS","2023-11-28 21:25:00, 2023-11-29 14:05:00","2023-11-29 04:55:00, 2023-11-29 18:25:00","Economy, Economy","N, N",75000,$292.49,"14h 30m, 07h 20m",1,09h 10m,"EY455(Etihad Airways), EY77(Etihad Airways)","Boeing 777-300ER, Boeing 787-10",5,Economy,VA,2023-08-06 17:18:32
